,Manjanggul,Bijarim,Seopjikoji ,Seongsanilchul Provincial Marine Park,"Jeongbang Waterfall, Xu Fu exhibition, Chilshimni food specialized street",Jusangjeolli,"Cheonjiyeon Waterfall, Saeyeongyo office",Sanbangsan Mountain,The mystery of the road,Jejumok government office,Jeju Natural World Heritage Center,Halla Arboretum,Historic Site of Anti-Yuan Movement,Jeolmul Natural Recreation Forest,Bulgeun Oreum Natural Recreation Forest,Museum of Contemporary Art,11Course,"The Museum of Sex Health, Andeok Valley",9Course,Daejeong-eup,Andeok-myeon,"7Course, Jungmun Tourist Complex, Jungmun Marine Park Pacificland, Cheonjeyeon Falls, Ripley's Believe It or Not! Museum, Teddy Bear Museum, Play K-Pop Jeju",World Car Museum,Hwasun Gotjawal eco-tourism attractions forest,"Songaksan, Footprints hwaseokjji Management Office, Four Seasons beach, Four Seasons coast road, Hwasun golden sand beach",Mara Provincial Marine Park,Seogwipo Cross-country Bus Terminal ,Seogwipo Astronomical Science and Culture Center, Museum of world shell,Gidang Art Museum,Soingook Theme Park,hyeopjjae beach ,Suwolbong Peak,Sinjeju Rotary,off-season training camp,Jeju pottery Museum,Jeju kanran exhibition,"The culture street of pine park, Lee Joong-sup street, Seogwipo City Lee Joong-sup Art Gallery",Jungangno cross road,"Pyoseon-myeon, Pyoseon daily gym",1Course,2Course,5Course,Gujwa gym,"Jeju National Museum, Jeju National Sports Center",Namwon-eup,Dynamic maize,Dodubong Park ,Donnaeko,Sarabong Park,"Seongsan-eup, Sinyang seopjikoji the beach","Jeju Folk Village Museum, Pyoseon Haevichi beach",Pyoseon Haevichi beach,Jeju Pony Town,Hayo soesokkak the beach,Honinji Pond,Jungang Rotary,Seongsanpo Shell Museum,Pony Valley,Museum of the world sex,Maze Park,Andeok Living Gym,Oedolgae Rock,"Yongyeon, Yongduam Rock",Ilchulland,Jeju Haenyeo Museum ,Jeju Herb Dongsan,Blue Mountain Coffee theme park,Dongmun Rotary,Jeju 4.3 peace park,Namwon living gym,Jeju rehabilitation hospital,Keuneong,Gangchanghak b Stadium,International Peace Center Jeju,Jeju International Peace Center Jeju,Maehwa Theme Park -1,Maehwa Theme Park -2,The Da Vinci Museum,Daeyu industry,Hyodon-ri,Seogwipo all-weather a gate ball ground,Camellia Hill,Samyang-dong site,Seogwipo Citrus Museum,Seogwipo-si  Gungdojang,Seogwipo roller-skating rink,Jeju Sculpture Park,Seogwipo Natural Recreation Forest,Soam the Memorial hyeonjunghwa,"Alice's Adventures in Wonderland, Soingook Theme Park",Hwanggeumnyung goldeunhil hub farm -2,Jeju Glass Museum,Hankyong gym,Hwanggeumnyung goldeunhil hub farm -1,Toy Park,eongtto waterfall ,Yerae Ecology Experience Center,Jewon Apt,Jeju Greentea,Cheju folklore and national history museum,Sports Stadium,Hyuaeri,Kim Jeong-hui's House of Exile,anti-Japan memorial hall,Korea Baseball Hall of Fame,Gimjeong Cultural Center,Birthplace of Beopjeongsa,Jeju Museum of Art,Gwakjji gwamul beach,Museum of Education,Ido Park,"Jeju anti-Japan memorial hall, Jocheon gym",deer ecology observation center,Aewal Ocean Front National Sports Center,Jeju dinosaurs Museum ,Jeju chusagwan,natural-lover gallery,Liquorium,Daejeong Culture and Sports Center,Hanlim gym,water transport park ,Film Culture center,Aewol gym,ioteu beach,Intercity Bus Terminal
Sinjeju Rotary,0.007683864,0.006586169,0.00219539,0.018660812,0.007683864,0.004390779,0.012074643,0.001097695,0.00219539,0.046103183,0,0.007683864,0.001097695,0.004390779,0,0,0.003293085,0,0,0.004390779,0.077936334,0.020856202,0,0.001097695,0.004390779,0.00219539,0.005488474,0,0.001097695,0.00219539,0.001097695,0.004390779,0,0,0.096597146,0,0.004390779,0.005488474,0.060373216,0.013172338,0.004390779,0,0,0.004390779,0.024149286,0.009879254,0.00219539,0.016465423,0,0.004390779,0.013172338,0.004390779,0.001097695,0,0.001097695,0,0.03183315,0,0.004390779,0,0.001097695,0,0.004390779,0.043907794,0,0.003293085,0.001097695,0,0.007683864,0.001097695,0,0.001097695,0,0,0,0,0.00219539,0,0,0,0.001097695,0,0.012074643,0.009879254,0,0,0,0,0.001097695,0,0,0,0,0,0,0.001097695,0,0.001097695,0.177826564,0,0.00219539,0.013172338,0,0.00219539,0,0,0,0,0.013172338,0.005488474,0.00219539,0.004390779,0,0,0.008781559,0,0,0.001097695,0.001097695,0,0.00219539,0,0,0.001097695,0.050493963,0.07025247
off-season training camp,0,0.002528445,0.001264223,0.007585335,0.017699115,0.008849558,0.011378003,0.02528445,0,0.00505689,0,0.006321113,0.008849558,0.001264223,0,0.001264223,0.031605563,0.006321113,0.001264223,0.08596713,0.273072061,0.099873578,0.001264223,0.001264223,0.027812895,0.001264223,0.029077118,0,0.01011378,0.001264223,0.008849558,0.007585335,0.001264223,0.03539823,0,0,0.002528445,0.02528445,0.01011378,0.00505689,0,0,0.001264223,0.001264223,0.008849558,0.003792668,0,0.008849558,0.002528445,0,0.007585335,0.002528445,0,0,0,0,0.042983565,0,0.001264223,0.002528445,0.003792668,0.002528445,0.003792668,0.008849558,0,0.001264223,0,0,0.013906448,0,0,0.007585335,0,0,0,0,0.001264223,0.003792668,0,0,0,0.00505689,0.006321113,0,0.001264223,0,0.001264223,0,0.003792668,0,0.002528445,0.002528445,0,0,0,0.00505689,0,0.001264223,0.032869785,0,0.002528445,0,0,0.001264223,0,0,0,0,0.006321113,0,0.001264223,0.001264223,0,0,0.002528445,0,0,0,0,0,0.01011378,0,0,0.001264223,0.017699115,0
Jeju pottery Museum,0,0,0,0,0,0,0,0,0,0.009259259,0,0,0,0,0,0,0.037037037,0,0,0.083333333,0.111111111,0,0,0,0.037037037,0,0,0,0,0,0,0,0.018518519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009259259,0,0,0,0.601851852,0,0,0,0.037037037,0,0,0,0,0,0,0,0.046296296,0,0,0,0,0,0,0,0,0,0,0.009259259,0,0,0,0,0,0,0,0,0,0,0
Jeju kanran exhibition,0.000682594,0,0,0.000682594,0.010921502,0.012286689,0.023208191,0.009556314,0.001365188,0.002047782,0,0,0,0,0,0.000682594,0.002730375,0.004778157,0.001365188,0.001365188,0.466894198,0.023890785,0.004095563,0.001365188,0.023890785,0.004095563,0.002047782,0,0.005460751,0,0.008191126,0.002047782,0.001365188,0.001365188,0.002047782,0,0,0.004095563,0,0.000682594,0,0,0.001365188,0,0.000682594,0.002047782,0,0.004778157,0.004778157,0.000682594,0.001365188,0.000682594,0.000682594,0,0.000682594,0,0.004095563,0,0,0.000682594,0.006825939,0,0.002730375,0.010238908,0,0,0,0,0.002730375,0,0,0.001365188,0.000682594,0,0,0,0,0,0.006143345,0,0.003412969,0.000682594,0.028668942,0,0.002047782,0,0,0.001365188,0,0,0.002730375,0,0,0,0,0.272354949,0.000682594,0,0.002730375,0,0.002730375,0,0.000682594,0.001365188,0,0,0,0,0,0.000682594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002047782,0.001365188
"The culture street of pine park, Lee Joong-sup street, Seogwipo City Lee Joong-sup Art Gallery",0.000679625,0.000951475,0.003262199,0.005980699,0.26559739,0.02242762,0.211499252,0.005301074,0.000135925,0.00081555,0,0.000679625,0.000407775,0.00081555,0.0010874,0,0.00027185,0.002582574,0.000679625,0.00190295,0.015631371,0.035748267,0.002038875,0.000135925,0.005844774,0.00027185,0.027049069,0.00027185,0.09052603,0.007475873,0.001495175,0.00081555,0.00081555,0.00081555,0.001495175,0.000135925,0.00190295,0,0.00027185,0.005436999,0.0005437,0.000407775,0.002310724,0.00027185,0.00027185,0.013048797,0.00190295,0.00027185,0.002310724,0.000135925,0.010738073,0.004893299,0.0021748,0.000407775,0.022835395,0.000135925,0.037379367,0,0.00027185,0.002446649,0.007068098,0,0.02433057,0.001495175,0.000679625,0.000407775,0.00081555,0.000407775,0.061030311,0.00027185,0.000407775,0.012097322,0.000951475,0.00027185,0.000951475,0.000135925,0,0.000135925,0.001223325,0,0.008291423,0.014815822,0.004213674,0.000135925,0.003262199,0.0005437,0.00081555,0.00135925,0.00081555,0.015359522,0,0,0.000407775,0,0,0.000135925,0.0010874,0.000407775,0.000407775,0,0,0,0.000679625,0.00135925,0,0.0016311,0.001495175,0.000135925,0.00027185,0.000951475,0.000135925,0.00027185,0.000135925,0,0,0,0.000135925,0,0,0.000135925,0.000135925,0.000135925,0,0,0.00135925,0.00027185
Jungangno cross road,0.008450704,0.005633803,0.002816901,0.016901408,0.005633803,0,0.011267606,0.002816901,0,0.104225352,0,0,0.002816901,0.008450704,0,0,0,0,0,0.008450704,0.016901408,0.002816901,0.002816901,0,0,0,0.011267606,0,0.002816901,0,0,0.005633803,0.002816901,0.146478873,0.067605634,0,0,0.016901408,0,0.01971831,0.005633803,0,0,0.002816901,0.022535211,0.008450704,0.002816901,0.033802817,0.002816901,0.014084507,0.011267606,0.011267606,0,0,0,0,0.025352113,0,0,0,0,0.002816901,0.002816901,0.078873239,0,0,0,0,0.002816901,0.002816901,0.002816901,0,0,0,0,0,0,0,0,0,0,0,0.002816901,0.022535211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149295775,0,0.005633803,0.002816901,0,0,0.002816901,0,0,0,0.005633803,0.002816901,0.002816901,0.005633803,0.002816901,0,0.008450704,0,0,0,0,0,0,0.002816901,0,0,0.056338028,0.01971831
"Pyoseon-myeon, Pyoseon daily gym",0.001371058,0.002492833,0.003863891,0.015206282,0.005484233,0.003988533,0.005110308,0.00074785,0.000373925,0.00074785,0.000623208,0.00074785,0,0.000623208,0.001121775,0,0.000124642,0.000124642,0,0.000249283,0.002617475,0.003863891,0,0,0.001121775,0.000249283,0.010469899,0,0.003863891,0.000623208,0.000124642,0.000124642,0,0.001620342,0.000997133,0,0.000249283,0.009098841,0.00074785,0,0.001620342,0.002866758,0.00373925,0.000249283,0.000872492,0.031908264,0.013959865,0.000498567,0.000872492,0.000249283,0.531347376,0.118658856,0.057709086,0.005359591,0.005359591,0.001246417,0.006855291,0,0.041630313,0.000373925,0,0,0.000997133,0.002118908,0.005858158,0.000872492,0.025426898,0.007478499,0.006979933,0.000373925,0.001869625,0.001246417,0.000373925,0,0.000498567,0.000249283,0,0.000124642,0.000373925,0.000124642,0.001869625,0.000249283,0.000872492,0.000373925,0.000249283,0,0.000124642,0.000124642,0.000124642,0.000373925,0,0.000124642,0,0,0,0.000124642,0,0,0.001121775,0,0.000249283,0.000623208,0.000997133,0,0,0,0.000249283,0.000124642,0.000124642,0.000249283,0,0.000124642,0,0,0.000124642,0.000124642,0,0.004362458,0.027171881,0,0,0,0,0.000249283,0.000249283,0.000124642
1Course,0.015756894,0.013505909,0.020258863,0.158131683,0.005064716,0,0.002813731,0.021947102,0.000562746,0.001125492,0.000562746,0.002813731,0.001125492,0.001125492,0.001125492,0.000562746,0,0.019696117,0.002250985,0.164321891,0.038266742,0.003376477,0.001125492,0.000562746,0.104108047,0.005627462,0.01181767,0.000562746,0.005627462,0,0.003376477,0.001125492,0.003376477,0.005627462,0.002813731,0.001125492,0.000562746,0.005627462,0.001125492,0.020821609,0,0.021384356,0.001125492,0.006752954,0.001125492,0.007878447,0.002813731,0.000562746,0.000562746,0.002250985,0.182892515,0.005064716,0.003939223,0.000562746,0.005064716,0.001125492,0.005064716,0.053460889,0.003939223,0.000562746,0.000562746,0.002250985,0.000562746,0.005064716,0.002813731,0.013505909,0.002250985,0.000562746,0.002250985,0.000562746,0,0,0,0,0,0,0,0.000562746,0.000562746,0,0.000562746,0,0.000562746,0.000562746,0.000562746,0,0,0.001125492,0,0,0.000562746,0.001125492,0,0,0,0.000562746,0,0,0.001125492,0,0.000562746,0,0,0.000562746,0.000562746,0,0.000562746,0,0,0.001125492,0,0,0,0,0,0,0,0,0,0,0.001125492,0,0,0,0.000562746,0.001125492
2Course,0,0.003944773,0.027613412,0.063116371,0.001972387,0.001972387,0.001972387,0.001972387,0,0.001972387,0.001972387,0,0,0,0,0,0,0.003944773,0,0,0.007889546,0.001972387,0,0,0.001972387,0,0.003944773,0,0.007889546,0,0,0,0,0.00591716,0.001972387,0,0,0.00591716,0,0.051282051,0.041420118,0,0.003944773,0.003944773,0.003944773,0.00591716,0.001972387,0,0,0,0.65877712,0.007889546,0.00591716,0,0.001972387,0.035502959,0.003944773,0,0.001972387,0,0,0,0.001972387,0.003944773,0.003944773,0,0.001972387,0.00591716,0,0.001972387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001972387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001972387,0,0,0,0,0,0,0,0,0,0,0,0,0
5Course,0,0.003784295,0.006622517,0.008514664,0.013245033,0.002838221,0.006622517,0.001892148,0,0,0,0,0,0.001892148,0,0,0,0.001892148,0,0,0.003784295,0.004730369,0,0,0.001892148,0,0.005676443,0,0.014191107,0,0,0,0,0.000946074,0,0,0,0.024597919,0,0.016083254,0.000946074,0,0,0,0.000946074,0.56859035,0.002838221,0,0.001892148,0,0.026490066,0.058656575,0.069063387,0.000946074,0.037842952,0,0.015137181,0,0.001892148,0.000946074,0.000946074,0,0.003784295,0.000946074,0,0,0.001892148,0.000946074,0.00756859,0.000946074,0.031220435,0.002838221,0.036896878,0,0,0,0,0,0,0,0.000946074,0.000946074,0,0,0.000946074,0,0,0,0,0,0,0,0,0,0,0,0.000946074,0,0.000946074,0,0,0,0.000946074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000946074
Gujwa gym,0.135888502,0.073170732,0.017421603,0.216027875,0.010452962,0,0.006968641,0,0,0.020905923,0,0,0,0.003484321,0.003484321,0,0,0,0.003484321,0,0.003484321,0,0,0,0.003484321,0,0.013937282,0,0.003484321,0,0,0.013937282,0,0.013937282,0.017421603,0,0,0.013937282,0.013937282,0.010452962,0.024390244,0.003484321,0,0,0.010452962,0.006968641,0,0.003484321,0,0.006968641,0.069686411,0.006968641,0.006968641,0,0.003484321,0.003484321,0.006968641,0.003484321,0,0,0,0,0,0.027874564,0,0.055749129,0.003484321,0.003484321,0.013937282,0.003484321,0,0,0,0,0,0,0,0.003484321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013937282,0,0,0.003484321,0,0,0.006968641,0,0,0,0,0.006968641,0,0,0.038327526,0,0,0,0,0,0,0,0,0,0,0.013937282,0.003484321,0.045296167
"Jeju National Museum, Jeju National Sports Center",0.003703704,0.001851852,0.003703704,0.031481481,0,0.001851852,0.007407407,0.001851852,0.001851852,0.053703704,0,0.003703704,0.014814815,0.011111111,0.007407407,0,0.022222222,0,0,0.001851852,0.012962963,0.003703704,0,0,0,0,0.009259259,0.001851852,0,0,0,0.001851852,0.003703704,0.025925926,0.011111111,0,0,0.003703704,0.02037037,0.018518519,0,0.001851852,0,0.003703704,0,0.003703704,0,0.012962963,0,0.294444444,0.018518519,0.009259259,0.005555556,0,0,0,0.003703704,0,0,0,0,0,0,0.05,0,0.003703704,0,0.005555556,0,0.016666667,0,0,0,0,0,0,0,0,0,0,0.003703704,0,0,0.048148148,0,0,0,0,0,0,0.001851852,0,0,0,0,0.001851852,0,0,0.02037037,0,0.075925926,0.005555556,0.001851852,0,0.005555556,0,0,0,0.009259259,0.003703704,0.005555556,0.003703704,0.007407407,0.001851852,0.027777778,0.001851852,0,0,0,0,0,0.005555556,0.005555556,0.007407407,0.031481481,0.012962963
Namwon-eup,0.001165501,0.003496503,0.000582751,0.011072261,0.03030303,0.000582751,0.009324009,0,0,0.001165501,0.001748252,0.000582751,0,0.000582751,0.009324009,0,0,0,0,0.001165501,0.004079254,0.008158508,0.000582751,0,0.003496503,0,0.056526807,0,0.013986014,0.002331002,0,0,0,0.004662005,0.002913753,0,0,0.051282051,0.000582751,0.131118881,0.001748252,0.001748252,0.303030303,0.003496503,0.002913753,0,0.001748252,0,0.004079254,0,0.076340326,0.022144522,0.007575758,0,0.011072261,0,0.040792541,0,0.001165501,0.001748252,0.001165501,0,0.001748252,0.001165501,0,0.001165501,0.005827506,0.001165501,0.030885781,0.000582751,0.070512821,0.006410256,0.011655012,0,0.016899767,0,0,0,0,0,0.004662005,0.001165501,0.000582751,0,0.001165501,0,0,0.000582751,0,0,0,0.001165501,0,0,0,0.000582751,0,0,0.002331002,0.000582751,0,0.001165501,0,0,0,0,0.001165501,0,0.001165501,0,0.001165501,0,0,0,0,0,0,0.001165501,0.000582751,0,0,0.000582751,0,0.000582751,0,0
Dynamic maize,0.01028481,0.017405063,0.024525316,0.064873418,0.008702532,0.002373418,0.015031646,0.002373418,0,0.000791139,0.000791139,0,0.000791139,0.007120253,0.001582278,0,0,0,0,0,0.003955696,0.027689873,0.001582278,0,0.007911392,0,0.001582278,0,0.007120253,0,0.001582278,0.001582278,0,0.002373418,0,0,0.003164557,0.016613924,0.001582278,0.126582278,0.002373418,0.002373418,0.003955696,0,0.005537975,0.008702532,0,0.000791139,0.003164557,0,0.116297468,0.054588608,0.053006329,0.034018987,0.009493671,0,0.003955696,0.001582278,0.165348101,0,0.002373418,0,0.003164557,0.009493671,0.036392405,0.000791139,0.025316456,0.013449367,0.005537975,0.003955696,0.002373418,0,0,0,0,0,0,0,0.007911392,0.001582278,0.003955696,0.000791139,0.001582278,0,0.001582278,0,0,0.001582278,0,0,0.000791139,0,0,0,0,0,0,0,0.003955696,0,0.011867089,0.000791139,0.007911392,0,0,0,0,0,0.002373418,0.003955696,0,0,0,0,0.000791139,0.004746835,0,0.002373418,0.004746835,0,0,0,0,0,0.007120253,0.001582278
Dodubong Park ,0.00280112,0,0.022408964,0.019607843,0.019607843,0.011204482,0.019607843,0.005602241,0.00280112,0.050420168,0,0.036414566,0.00280112,0.011204482,0,0,0,0.00280112,0,0.005602241,0.025210084,0.011204482,0.00280112,0,0.030812325,0,0.014005602,0,0.005602241,0,0.00280112,0.008403361,0.005602241,0.014005602,0.005602241,0,0.005602241,0.011204482,0.016806723,0.00280112,0,0,0,0,0.008403361,0,0.005602241,0,0,0.00280112,0.008403361,0.00280112,0,0,0.008403361,0,0,0,0.019607843,0.00280112,0,0.00280112,0.00280112,0.151260504,0.008403361,0,0.005602241,0,0,0,0,0,0,0,0,0.00280112,0,0.00280112,0,0,0.005602241,0,0.014005602,0,0,0,0,0.00280112,0,0,0,0,0,0,0,0,0,0,0.036414566,0.005602241,0.005602241,0.005602241,0,0.005602241,0,0,0,0,0.008403361,0.019607843,0,0,0,0,0.039215686,0,0,0,0,0,0,0.00280112,0,0.00280112,0.232492997,0.00280112
Donnaeko,0.002659574,0.005319149,0.005319149,0.005319149,0.079787234,0.021276596,0.069148936,0.015957447,0,0,0.002659574,0.002659574,0,0.013297872,0.002659574,0,0,0.010638298,0.005319149,0,0.045212766,0.026595745,0.005319149,0,0.015957447,0,0.021276596,0.002659574,0.042553191,0.002659574,0,0.005319149,0,0,0.002659574,0,0.042553191,0.098404255,0.005319149,0.026595745,0,0,0.010638298,0,0.002659574,0.015957447,0.002659574,0,0,0,0.010638298,0.018617021,0.013297872,0,0.079787234,0,0.021276596,0,0.002659574,0.002659574,0.002659574,0,0.04787234,0.007978723,0,0,0.002659574,0,0.026595745,0.007978723,0.007978723,0.007978723,0.002659574,0,0,0,0,0,0.002659574,0.002659574,0.039893617,0.005319149,0.005319149,0,0.015957447,0,0,0.002659574,0.002659574,0,0,0,0,0,0,0,0.007978723,0,0,0,0.002659574,0.002659574,0,0,0,0,0,0.005319149,0,0.015957447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005319149,0.002659574
Sarabong Park,0,0.002673797,0,0.002673797,0.013368984,0,0,0,0,0.026737968,0,0,0,0,0,0,0,0,0,0,0.00802139,0.002673797,0,0,0.002673797,0,0.005347594,0,0,0,0,0,0,0.016042781,0,0,0,0.010695187,0.018716578,0,0.002673797,0.002673797,0,0,0.679144385,0,0,0.00802139,0,0,0,0.002673797,0.002673797,0,0.005347594,0,0,0,0.002673797,0,0,0,0.002673797,0.061497326,0,0,0,0,0.002673797,0,0,0,0,0,0,0,0,0,0,0,0.002673797,0.002673797,0.002673797,0.010695187,0,0,0,0,0,0.002673797,0,0,0,0,0,0,0,0,0.010695187,0,0.00802139,0,0,0,0.00802139,0,0,0,0.002673797,0,0,0.032085561,0.00802139,0,0,0,0,0,0,0,0,0.016042781,0,0,0.010695187,0
"Seongsan-eup, Sinyang seopjikoji the beach",0.005067085,0.007707679,0.167213817,0.17756209,0.010491008,0.003996574,0.007636312,0.000570939,0.000570939,0.000999144,0.000428204,0.000142735,0.000356837,0.001712818,0.00028547,0,0,0.000785041,0.000142735,0.000356837,0.002212389,0.006208964,0.000428204,0,0.000856409,7.14E-05,0.014059378,0,0.004924351,0.000142735,0.00028547,0.000356837,7.14E-05,0.000642307,0.000642307,0,0.000499572,0.010134171,0.001070511,0.356408792,0.020339709,0.028475592,0.002069655,0.001855552,0.001141878,0.013773908,0.006066229,0.001712818,0.000999144,7.14E-05,0,0.0389666,0.020839281,0.001427348,0.006280331,0.005923494,0.006565801,0.000999144,0.005352555,0.000356837,0.000999144,0,0.00164145,0.004924351,0.005638025,0.003140166,0.006208964,0.00385384,0.006708536,0.000856409,0.000428204,0.000642307,0.000856409,7.14E-05,0.000356837,7.14E-05,7.14E-05,0.00028547,0.000499572,7.14E-05,0.001355981,0.000499572,0.000570939,0.000356837,0.00028547,0,7.14E-05,0.000214102,0.000214102,7.14E-05,7.14E-05,0,0.000214102,0,0,0.000214102,0,0,0.00192692,0,0.000356837,7.14E-05,0.000927776,0,0.000142735,0,7.14E-05,7.14E-05,0.00028547,0.001213246,0,0.000214102,7.14E-05,0,0.000142735,0.000785041,0,0.000356837,0.001712818,0,0,7.14E-05,0.000142735,7.14E-05,0.001284613,0.000356837
"Jeju Folk Village Museum, Pyoseon Haevichi beach",0.001254902,0.001882353,0.010980392,0.018196078,0.005803922,0.001568627,0.006588235,0.000313725,0.000156863,0.000627451,0,0,0,0.000313725,0.000470588,0,0,0.000470588,0,0,0.000627451,0.002980392,0.000313725,0,0.000941176,0,0.002666667,0.000313725,0.002980392,0.000313725,0.000313725,0.000156863,0,0.001882353,0.000470588,0,0.000313725,0.007529412,0.000156863,0.185882353,0.002666667,0.000470588,0.00345098,0.000470588,0.000470588,0.008313725,0.002980392,0.000156863,0.000156863,0.000313725,0.080627451,0,0.592,0.000784314,0.006431373,0.001254902,0.001568627,0,0.009568627,0,0.001254902,0,0.000941176,0.00172549,0.002666667,0.000941176,0.005333333,0.001098039,0.000784314,0,0.003137255,0,0.001568627,0,0.000156863,0,0,0,0.000470588,0,0.000627451,0.001254902,0.000313725,0.000313725,0.000941176,0,0,0.000313725,0.000156863,0,0,0,0.000156863,0,0,0,0,0,0.000470588,0,0.000313725,0.001254902,0.000784314,0,0,0,0.000156863,0.000156863,0,0.000156863,0,0,0,0,0,0.000156863,0,0.000156863,0.002352941,0,0,0,0,0,0,0.00172549
Pyoseon Haevichi beach,0.00217008,0.00257697,0.0189882,0.02997423,0.01017225,0.00298386,0.01003662,0.00081378,0.00027126,0.00067815,0,0,0,0.00054252,0.00081378,0,0.00013563,0.00094941,0,0,0.00108504,0.00610335,0.00040689,0,0.00189882,0,0.00339075,0.00040689,0.00447579,0.00054252,0.00027126,0.00054252,0.00027126,0.00176319,0.00040689,0,0.00027126,0.0108504,0.00027126,0.280482843,0.00501831,0.00054252,0.00759528,0.00081378,0.00122067,0.01152855,0.00623898,0.00027126,0.00081378,0.00027126,0.126271531,0.360368914,0,0.00176319,0.01139292,0.00284823,0.00257697,0.00013563,0.01302048,0.00027126,0.0013563,0,0.00217008,0.00189882,0.00339075,0.0013563,0.01315611,0.00162756,0.0013563,0.00013563,0.00528957,0.00013563,0.00203445,0,0.00013563,0,0,0.00013563,0.00054252,0.00013563,0.00094941,0.0013563,0.00054252,0.00027126,0.00162756,0,0,0.00040689,0.00013563,0.00027126,0,0,0.00027126,0,0,0,0.00013563,0,0.00081378,0,0.00040689,0.0013563,0.00081378,0,0,0,0.00027126,0.00013563,0,0.00067815,0,0,0.00013563,0,0,0.00040689,0,0.00094941,0.00352638,0,0,0,0,0,0.00040689,0.00176319
Jeju Pony Town,0.013761468,0.016819572,0.039755352,0.226299694,0.004587156,0.001529052,0.00764526,0,0,0,0.003058104,0,0,0.004587156,0,0,0.001529052,0,0,0,0.001529052,0.006116208,0,0,0,0,0.001529052,0,0,0.001529052,0,0.001529052,0,0,0,0,0,0.004587156,0,0.076452599,0.003058104,0,0,0.001529052,0.001529052,0.001529052,0.067278287,0.003058104,0,0.003058104,0.082568807,0.016819572,0.013761468,0,0.003058104,0,0,0,0.278287462,0,0,0,0.00764526,0.010703364,0.019877676,0.004587156,0.024464832,0.02293578,0.001529052,0.001529052,0,0,0,0,0,0,0,0,0.001529052,0,0,0,0.001529052,0,0.001529052,0,0,0.003058104,0,0,0,0,0,0,0,0,0,0,0.004587156,0,0,0,0.004587156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001529052,0
Hayo soesokkak the beach,0.001906214,0.004574914,0.025543271,0.038505528,0.232939382,0.026305757,0.065192528,0.009149828,0.000762486,0,0,0.000381243,0.000381243,0.0026687,0.002287457,0,0,0.003812429,0.000381243,0.000762486,0.010293557,0.041936714,0.002287457,0,0.012199771,0.000381243,0.017537171,0.000762486,0.021730843,0.001143729,0.001143729,0.001524971,0.002287457,0.001143729,0.000381243,0,0.000762486,0.115135341,0.000381243,0.022112085,0.003431186,0.001524971,0.014868471,0.000381243,0.001143729,0.017918414,0.003431186,0.000381243,0.016393443,0,0.039268014,0.052230271,0.017155928,0.000381243,0,0.000762486,0.011818528,0,0.0026687,0.001524971,0.014105986,0,0.035074342,0.002287457,0.000762486,0,0.007624857,0.000762486,0.005718643,0,0.001906214,0.003812429,0.020587114,0,0,0,0,0,0.001524971,0.000381243,0.005718643,0.0026687,0.0053374,0,0.016393443,0,0,0.003049943,0.001906214,0.001524971,0,0.000381243,0,0,0,0,0.004193671,0,0.000381243,0,0,0,0.003812429,0,0,0,0.001143729,0.000381243,0,0.001906214,0,0,0,0,0,0.000762486,0,0,0.000762486,0,0,0,0,0.000381243,0.000762486,0
Honinji Pond,0.005319149,0.015957447,0.063829787,0.074468085,0.005319149,0,0.005319149,0,0,0.005319149,0,0,0,0,0,0,0,0,0,0,0,0,0.005319149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005319149,0,0.10106383,0.026595745,0.042553191,0.005319149,0,0,0.015957447,0,0,0.005319149,0,0.393617021,0.069148936,0.015957447,0,0.021276596,0,0,0,0,0,0.010638298,0,0.010638298,0,0.010638298,0.021276596,0,0.005319149,0.010638298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005319149,0,0,0,0,0,0,0,0,0,0,0.005319149,0,0.005319149,0,0.005319149,0,0,0,0,0,0,0,0,0,0,0,0,0.015957447,0,0,0,0,0,0,0.010638298,0,0,0
